d_host_is_superhost,n_host_listings_count,n_host_total_listings_count,d_host_has_profile_pic,d_host_identity_verified,f_neighbourhood_cleansed,n_latitude,n_longitude,f_property_type,n_accommodates,n_bedrooms,n_beds,price,n_minimum_nights,n_maximum_nights,n_minimum_minimum_nights,n_maximum_minimum_nights,n_minimum_maximum_nights,n_maximum_maximum_nights,n_minimum_nights_avg_ntm,n_maximum_nights_avg_ntm,d_has_availability,n_availability_30,n_availability_60,n_availability_90,n_availability_365,n_number_of_reviews,n_number_of_reviews_ltm,n_number_of_reviews_l30d,n_review_scores_rating,n_review_scores_accuracy,n_review_scores_cleanliness,n_review_scores_checkin,n_review_scores_communication,n_review_scores_location,n_review_scores_value,d_instant_bookable,n_calculated_host_listings_count,n_calculated_host_listings_count_entire_homes,n_calculated_host_listings_count_private_rooms,n_calculated_host_listings_count_shared_rooms,n_reviews_per_month,n_p_host_response_rate,n_p_host_acceptance_rate,n_bathrooms,n_dt_host_since_to_today,n_dt_first_review_to_today,n_dt_last_review_to_today,d_tv,d_ac,d_backyard,d_baking_sheet,d_bathtub,d_bbq,d_board_games,d_brekkie,d_coffee,d_ceiling_fan,d_clothing_storage,d_dedicated_workspace,d_dishwasher,d_dryer,d_drying_rack,d_eco,d_wifi,d_fire_guard,d_first_aid,d_fitness,d_heating,d_high_chair,d_organic,d_hot_tub,d_spa,d_fireplace,d_iron,d_bluetooth,d_nespresso,d_kitchen_aid,d_rice_maker,d_mosquito_net,d_laundromat,d_security_camera,d_free_parking,d_long_term,d_pool,d_pets_allowed,d_beachfront,d_lake_access,d_kayak,d_piano,d_pingpong,d_outdoor_dining_area,d_outdoor_furniture,d_outdoor_pool,d_outdoor_shower,d_game_console,d_nintendo,d_ps,d_alexa,d_amazon_prime,d_apple,d_bang_and_olufsen,d_beats,d_bosch,d_boombox,d_bose,d_chromecast,d_google,d_jbl,d_jvc,d_netlix,d_pioneer,d_aroma_zone,d_attitude,d_aveda,d_bella_pella,d_costco,d_dove,d_dumarchand,d_garnier,d_head_and_shoulders,d_ivory,d_kiehls,d_kirkland,d_loreal,d_lemieux,d_melaleuca,d_nivea,d_olay,d_ordinaire,d_organix,d_pantene,d_plusieurs,d_baby_bath,d_baby_monitor,d_baby_safety_gates,d_babysitter_rec,d_crib,d_children,d_danby,d_divers,d_electrolux,d_fisher_and_paykel,d_frigidaire,d_galanz,d_induction,d_inglis,d_kenmore,d_lg,d_miele,d_samsung,d_hv_facebook,d_hv_google,d_hv_government_id,d_hv_jumio,d_hv_manual,d_hv_kba,d_hv_phone,d_hv_reviews,d_hv_selfie,d_hv_sent_id,d_hv_sesame,d_hv_email,d_missing_n_review_scores_rating,d_missing_n_review_scores_accuracy,d_missing_n_review_scores_cleanliness,d_missing_n_review_scores_checkin,d_missing_n_review_scores_communication,d_missing_n_review_scores_location,d_missing_n_review_scores_value,d_missing_n_reviews_per_month,d_missing_n_p_host_response_rate,d_missing_n_p_host_acceptance_rate,d_missing_n_dt_first_review_to_today,d_missing_n_dt_last_review_to_today,n_squared_number_of_reviews,n_cubic_number_of_reviews,n_ln_host_since_to_today
0,1,1,1,1,Le Plateau-Mont-Royal,45.51856,-73.57756,Entire rental unit,4,2,2,182,3,364,3,3,364,364,3,364,1,17,47,77,305,29,0,0,4.81,4.73,4.69,4.77,4.73,4.92,4.62,0,1,1,0,0,0.23,0,0,1,3946,3913,1282,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,841,24389,8.280711075662847
0,1,1,1,1,Le Plateau-Mont-Royal,45.52403,-73.60176,Entire rental unit,4,2,2,101,3,28,3,3,28,28,3,28,1,2,7,35,35,77,5,0,4.65,4.64,4.49,4.81,4.8,4.8,4.77,0,1,1,0,0,0.6,0,0,1,3938,3900,142,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5929,456533,8.278682162970906
1,4,4,1,1,Villeray-Saint-Michel-Parc-Extension,45.53971,-73.61943,Entire rental unit,3,1,2,99,32,1125,32,32,1125,1125,32,1125,1,0,0,0,101,72,0,0,4.8,4.91,4.93,4.94,4.94,4.92,4.79,0,5,5,0,0,0.57,0,0,1,3948,3870,773,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5184,373248,8.28121766128665
0,1,1,1,1,Rosemont-La Petite-Patrie,45.54512,-73.59808,Entire rental unit,2,1,1,90,186,365,186,186,365,365,186,365,1,23,53,83,358,16,0,0,4.73,4.6,4.67,4.87,4.87,4.33,4.47,0,1,1,0,0,0.13,0,0,1,4530,3843,801,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,256,4096,8.418697944667139
0,9,9,1,1,Le Plateau-Mont-Royal,45.53882,-73.56102,Entire rental unit,2,1,2,71,31,730,31,31,730,730,31,730,1,0,8,38,313,12,0,0,4.83,5,4.92,4.92,5,4.67,4.83,1,9,7,2,0,0.1,0,0,1,3878,3844,866,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,144,1728,8.263332667439967
0,0,0,1,1,Le Plateau-Mont-Royal,45.52954,-73.57813,Entire rental unit,2,1,1,77,1,1125,2,3,1125,1125,2,1125,1,1,9,12,12,568,51,2,4.85,4.88,4.87,4.91,4.94,4.93,4.83,1,34,34,0,0,4.51,0,0,1,886,3833,78,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,322624,183250432,6.787844982309579
0,3,3,1,1,Rosemont-La Petite-Patrie,45.54673,-73.57181,Entire rental unit,3,2,2,90,31,1125,31,31,1125,1125,31,1125,1,2,2,2,161,31,2,0,4.68,4.81,4.74,4.84,4.81,4.68,4.74,1,3,3,0,0,0.25,0,0,1,3870,3717,197,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,961,29791,8.261268150577648
0,0,0,1,1,Le Plateau-Mont-Royal,45.52936,-73.5787,Entire rental unit,4,2,2,151,3,1125,32,32,1125,1125,32,1125,1,0,0,0,0,516,0,0,4.91,4.92,4.85,4.94,4.95,4.94,4.87,0,34,34,0,0,4.15,0,0,1,886,3792,704,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,266256,137388096,6.787844982309579
0,40,40,1,1,Ville-Marie,45.50312,-73.56346,Entire rental unit,2,1,1,115,1,1125,30,30,30,30,30,30,1,26,56,86,361,4,0,0,4,5,3.75,4.5,5,5,4.5,0,36,36,0,0,0.04,0,0,1,4015,3147,1205,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,16,64,8.298041661371565
0,4,4,1,1,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49172,-73.6247,Entire rental unit,5,4,6,245,31,4000,31,31,4000,4000,31,4000,1,0,0,3,278,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,2.5,3862,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,8.259199362666282
